year,county,level,a_y,r_y,n_y,p_y,l_y,ca_y,cl_y,ca_avg_y,cl_avg_y,a_yplus10,l_yplus10
2014,Aitkin,Felony,90,86,177,NA,NA,NA,NA,NA,NA,NA,NA
2014,Aitkin,Gross Misdemeanor,88,107,197,NA,NA,NA,NA,NA,NA,NA,NA
2014,Aitkin,Misdemeanor,81,97,107,NA,NA,NA,NA,NA,NA,NA,NA
2014,Aitkin,Juvenile,24,24,35,NA,NA,NA,NA,NA,NA,NA,NA
2014,Anoka,Felony,918,785,2569,NA,NA,NA,NA,NA,NA,NA,NA
2014,Anoka,Gross Misdemeanor,729,818,2333,NA,NA,NA,NA,NA,NA,NA,NA
2014,Anoka,Misdemeanor,1538,1841,2554,NA,NA,NA,NA,NA,NA,NA,NA
2014,Anoka,Juvenile,599,586,396,NA,NA,NA,NA,NA,NA,NA,NA
2014,Becker,Felony,103,88,316,NA,NA,NA,NA,NA,NA,NA,NA
2014,Becker,Gross Misdemeanor,56,39,125,NA,NA,NA,NA,NA,NA,NA,NA
2014,Becker,Misdemeanor,17,19,25,NA,NA,NA,NA,NA,NA,NA,NA
2014,Becker,Juvenile,89,83,66,NA,NA,NA,NA,NA,NA,NA,NA
2014,Beltrami,Felony,179,190,572,NA,NA,NA,NA,NA,NA,NA,NA
2014,Beltrami,Gross Misdemeanor,73,74,198,NA,NA,NA,NA,NA,NA,NA,NA
2014,Beltrami,Misdemeanor,70,69,106,NA,NA,NA,NA,NA,NA,NA,NA
2014,Beltrami,Juvenile,77,89,74,NA,NA,NA,NA,NA,NA,NA,NA
2014,Benton,Felony,131,137,394,NA,NA,NA,NA,NA,NA,NA,NA
2014,Benton,Gross Misdemeanor,157,150,327,NA,NA,NA,NA,NA,NA,NA,NA
2014,Benton,Misdemeanor,278,245,313,NA,NA,NA,NA,NA,NA,NA,NA
2014,Benton,Juvenile,77,79,58,NA,NA,NA,NA,NA,NA,NA,NA
2014,Big Stone,Felony,13,12,26,NA,NA,NA,NA,NA,NA,NA,NA
2014,Big Stone,Gross Misdemeanor,20,14,38,NA,NA,NA,NA,NA,NA,NA,NA
2014,Big Stone,Misdemeanor,17,10,16,NA,NA,NA,NA,NA,NA,NA,NA
2014,Big Stone,Juvenile,9,19,9,NA,NA,NA,NA,NA,NA,NA,NA
2014,Blue Earth,Felony,275,249,602,NA,NA,NA,NA,NA,NA,NA,NA
2014,Blue Earth,Gross Misdemeanor,202,184,305,NA,NA,NA,NA,NA,NA,NA,NA
2014,Blue Earth,Misdemeanor,286,316,259,NA,NA,NA,NA,NA,NA,NA,NA
2014,Blue Earth,Juvenile,98,114,97,NA,NA,NA,NA,NA,NA,NA,NA
2014,Brown,Felony,60,57,181,NA,NA,NA,NA,NA,NA,NA,NA
2014,Brown,Gross Misdemeanor,74,84,137,NA,NA,NA,NA,NA,NA,NA,NA
2014,Brown,Misdemeanor,188,216,210,NA,NA,NA,NA,NA,NA,NA,NA
2014,Brown,Juvenile,37,36,32,NA,NA,NA,NA,NA,NA,NA,NA
2014,Carlton,Felony,138,131,353,NA,NA,NA,NA,NA,NA,NA,NA
2014,Carlton,Gross Misdemeanor,58,61,125,NA,NA,NA,NA,NA,NA,NA,NA
2014,Carlton,Misdemeanor,27,21,51,NA,NA,NA,NA,NA,NA,NA,NA
2014,Carlton,Juvenile,28,21,30,NA,NA,NA,NA,NA,NA,NA,NA
2014,Carver,Felony,184,130,503,NA,NA,NA,NA,NA,NA,NA,NA
2014,Carver,Gross Misdemeanor,180,176,365,NA,NA,NA,NA,NA,NA,NA,NA
2014,Carver,Misdemeanor,299,296,396,NA,NA,NA,NA,NA,NA,NA,NA
2014,Carver,Juvenile,128,151,125,NA,NA,NA,NA,NA,NA,NA,NA
2014,Cass,Felony,127,124,434,NA,NA,NA,NA,NA,NA,NA,NA
2014,Cass,Gross Misdemeanor,100,148,228,NA,NA,NA,NA,NA,NA,NA,NA
