county,year,n,change,pct_change,tooltip
Aitkin,2024,16024,0,0,"<b>2024 – Aitkin</b><br>Population projection: 16,024<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Aitkin,2025,16050,26,0.0016225661507738391,"<b>2025 – Aitkin</b><br>Population projection: 16,050<br>% change compared to 2024: 0.2%<br>Change compared to 2024: 26"
Aitkin,2026,16073,49,0.003057913130304543,"<b>2026 – Aitkin</b><br>Population projection: 16,073<br>% change compared to 2024: 0.3%<br>Change compared to 2024: 49"
Aitkin,2027,16094,70,0.004368447329006491,"<b>2027 – Aitkin</b><br>Population projection: 16,094<br>% change compared to 2024: 0.4%<br>Change compared to 2024: 70"
Aitkin,2028,16111,87,0.005429355966050924,"<b>2028 – Aitkin</b><br>Population projection: 16,111<br>% change compared to 2024: 0.5%<br>Change compared to 2024: 87"
Aitkin,2029,16125,101,0.006303045431852222,"<b>2029 – Aitkin</b><br>Population projection: 16,125<br>% change compared to 2024: 0.6%<br>Change compared to 2024: 101"
Aitkin,2030,16135,111,0.006927109335996006,"<b>2030 – Aitkin</b><br>Population projection: 16,135<br>% change compared to 2024: 0.7%<br>Change compared to 2024: 111"
Aitkin,2031,16142,118,0.007363954068896655,"<b>2031 – Aitkin</b><br>Population projection: 16,142<br>% change compared to 2024: 0.7%<br>Change compared to 2024: 118"
Aitkin,2032,16145,121,0.00755117324013979,"<b>2032 – Aitkin</b><br>Population projection: 16,145<br>% change compared to 2024: 0.8%<br>Change compared to 2024: 121"
Aitkin,2033,16144,120,0.0074887668497254116,"<b>2033 – Aitkin</b><br>Population projection: 16,144<br>% change compared to 2024: 0.7%<br>Change compared to 2024: 120"
Anoka,2024,377033,0,0,"<b>2024 – Anoka</b><br>Population projection: 377,033<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Anoka,2025,380819,3786,0.010041561348741356,"<b>2025 – Anoka</b><br>Population projection: 380,819<br>% change compared to 2024: 1.0%<br>Change compared to 2024: 3,786"
Anoka,2026,384571,7538,0.01999294491463612,"<b>2026 – Anoka</b><br>Population projection: 384,571<br>% change compared to 2024: 2.0%<br>Change compared to 2024: 7,538"
Anoka,2027,388286,11253,0.02984619383449194,"<b>2027 – Anoka</b><br>Population projection: 388,286<br>% change compared to 2024: 3.0%<br>Change compared to 2024: 11,253"
Anoka,2028,391959,14926,0.03958804666965491,"<b>2028 – Anoka</b><br>Population projection: 391,959<br>% change compared to 2024: 4.0%<br>Change compared to 2024: 14,926"
Anoka,2029,395586,18553,0.0492078942692019,"<b>2029 – Anoka</b><br>Population projection: 395,586<br>% change compared to 2024: 4.9%<br>Change compared to 2024: 18,553"
Anoka,2030,399162,22129,0.058692475194478996,"<b>2030 – Anoka</b><br>Population projection: 399,162<br>% change compared to 2024: 5.9%<br>Change compared to 2024: 22,129"
Anoka,2031,402680,25647,0.06802322343137072,"<b>2031 – Anoka</b><br>Population projection: 402,680<br>% change compared to 2024: 6.8%<br>Change compared to 2024: 25,647"
Anoka,2032,406131,29098,0.07717626839030005,"<b>2032 – Anoka</b><br>Population projection: 406,131<br>% change compared to 2024: 7.7%<br>Change compared to 2024: 29,098"
Anoka,2033,409527,32494,0.08618343752403636,"<b>2033 – Anoka</b><br>Population projection: 409,527<br>% change compared to 2024: 8.6%<br>Change compared to 2024: 32,494"
Becker,2024,35927,0,0,"<b>2024 – Becker</b><br>Population projection: 35,927<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Becker,2025,36180,253,0.007042057505497259,"<b>2025 – Becker</b><br>Population projection: 36,180<br>% change compared to 2024: 0.7%<br>Change compared to 2024: 253"
Becker,2026,36428,501,0.01394494391404793,"<b>2026 – Becker</b><br>Population projection: 36,428<br>% change compared to 2024: 1.4%<br>Change compared to 2024: 501"
Becker,2027,36672,745,0.020736493445041335,"<b>2027 – Becker</b><br>Population projection: 36,672<br>% change compared to 2024: 2.1%<br>Change compared to 2024: 745"
Becker,2028,36912,985,0.027416706098477468,"<b>2028 – Becker</b><br>Population projection: 36,912<br>% change compared to 2024: 2.7%<br>Change compared to 2024: 985"
Becker,2029,37146,1219,0.0339299134355777,"<b>2029 – Becker</b><br>Population projection: 37,146<br>% change compared to 2024: 3.4%<br>Change compared to 2024: 1,219"
Becker,2030,37374,1447,0.04027611545634203,"<b>2030 – Becker</b><br>Population projection: 37,374<br>% change compared to 2024: 4.0%<br>Change compared to 2024: 1,447"
Becker,2031,37597,1670,0.04648314638015977,"<b>2031 – Becker</b><br>Population projection: 37,597<br>% change compared to 2024: 4.6%<br>Change compared to 2024: 1,670"
Becker,2032,37812,1885,0.052467503548862975,"<b>2032 – Becker</b><br>Population projection: 37,812<br>% change compared to 2024: 5.2%<br>Change compared to 2024: 1,885"
Becker,2033,38022,2095,0.05831268962061959,"<b>2033 – Becker</b><br>Population projection: 38,022<br>% change compared to 2024: 5.8%<br>Change compared to 2024: 2,095"
Beltrami,2024,46365,0,0,"<b>2024 – Beltrami</b><br>Population projection: 46,365<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Beltrami,2025,46296,-69,-0.0014881915237787125,"<b>2025 – Beltrami</b><br>Population projection: 46,296<br>% change compared to 2024: -0.1%<br>Change compared to 2024: -69"
Beltrami,2026,46218,-147,-0.0031704949854416044,"<b>2026 – Beltrami</b><br>Population projection: 46,218<br>% change compared to 2024: -0.3%<br>Change compared to 2024: -147"
Beltrami,2027,46131,-234,-0.005046910384988677,"<b>2027 – Beltrami</b><br>Population projection: 46,131<br>% change compared to 2024: -0.5%<br>Change compared to 2024: -234"
Beltrami,2028,46037,-328,-0.007074301736223444,"<b>2028 – Beltrami</b><br>Population projection: 46,037<br>% change compared to 2024: -0.7%<br>Change compared to 2024: -328"
Beltrami,2029,45932,-433,-0.009338941011538876,"<b>2029 – Beltrami</b><br>Population projection: 45,932<br>% change compared to 2024: -0.9%<br>Change compared to 2024: -433"
Beltrami,2030,45818,-547,-0.011797692224738488,"<b>2030 – Beltrami</b><br>Population projection: 45,818<br>% change compared to 2024: -1.2%<br>Change compared to 2024: -547"
Beltrami,2031,45694,-671,-0.014472123368920523,"<b>2031 – Beltrami</b><br>Population projection: 45,694<br>% change compared to 2024: -1.4%<br>Change compared to 2024: -671"
Beltrami,2032,45561,-804,-0.017340666450986735,"<b>2032 – Beltrami</b><br>Population projection: 45,561<br>% change compared to 2024: -1.7%<br>Change compared to 2024: -804"
Beltrami,2033,45416,-949,-0.020468025450231856,"<b>2033 – Beltrami</b><br>Population projection: 45,416<br>% change compared to 2024: -2.0%<br>Change compared to 2024: -949"
Benton,2024,42076,0,0,"<b>2024 – Benton</b><br>Population projection: 42,076<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Benton,2025,42317,241,0.0057277307728871565,"<b>2025 – Benton</b><br>Population projection: 42,317<br>% change compared to 2024: 0.6%<br>Change compared to 2024: 241"
Benton,2026,42552,476,0.01131286243939538,"<b>2026 – Benton</b><br>Population projection: 42,552<br>% change compared to 2024: 1.1%<br>Change compared to 2024: 476"
Benton,2027,42780,704,0.01673162848179485,"<b>2027 – Benton</b><br>Population projection: 42,780<br>% change compared to 2024: 1.7%<br>Change compared to 2024: 704"
